index,image_path,markdown
0,/Users/paulobautista/Documents/streamlit/image/82837252.png,"# NEW COMPETITIVE PRODUCTS

| Field | Information |
|-------|-------------|
| REPORTED BY: | BOBBY MILLS, REGIONAL SALES MGR., INDIANAPOLIS, IN |
| DATE: | 8/10/90 |
| TIME: | |
| SOURCE OF INFORMATION: | HALL RODECAP, NOBLESVILLE, IN |
| MANUFACTURER: | B & W |
| BRAND NAME: | VICEROY KING BOX AND VICEROY LIGHTS KING BOX |
| TYPE OF PRODUCT: | |
| SIZE OR SIZES: | |
| LIST PRICE: | |
| EXTENT OF DISTRIBUTION: | |
| OTHER INFORMATION: | SEE ATTACHED INFORMATION SHEET |

cc:
A. H. Tisch
G. Telford
J. J. Tatum
R. H. Croutt
F. J. Schultz
L. H. Kersh
M. A. Peterson
A. W. Spears
J. R. Slater
T. N. Mau
N. P. Ruffalo
L. Gordon
T. L. Achey
S. T. Jones
J. P. Mastrandrea
P. J. McCann
R. S. Goldbrenner
A. J. Giacoio
E. B. Harrow

82897292"
1,/Users/paulobautista/Documents/streamlit/image/92091873.png,"# NEWPORT RACING EVENT SURVEY

| Field | Value |
|-------|-------|
| Location | Laguna Seca, Monterey, Ca |
| Division | San Jose/933 |
| Date(s) | September 10, 1995 |
| Division Mgr | T.L. Roberts |
| Date Submitted | September 26, 1995 (submit by 30 days after event) |

## Promotion Quantity:

| Item | Quantity |
|------|----------|
| Mugs | 720 |
| Displays (8) | 40 |
| Floor (40) | 20 |
| Posters | 100 |

Date Rec'd: 6/12/95

## Invitations:

| Item | Value |
|------|-------|
| # Requested | 50 |
| Date Notified | 9/5/95 |
| Date Ordered | Unknown |

Date Rec'd: 9/6/95

## Displays Placed:

| Location | Quantity |
|----------|----------|
| Counter | 15 |
| Floor | 9 |
| Posters | 100 |

## Attendees:

| Category | Number |
|----------|--------|
| # Customers Invited | 40 |
| # Customers Attended | 35 |
| # Lorillard Personnel | 10 |

## Invitees' Comments:

""Thank you very much for the tickets, we had a great time"" Rogers Liquor, Marina California.

""We really appreciate Lorillard thinking of us."" Shiffert's Wholesale, Visalia, California.

""Thank you so much for the invitations...We had a great time."" Mission Trail Oil Company (Rotten Robbie Stores) San Jose, California.

""The races were great, the Newport Hospitality area was terrific"". Coremack, Sacramento, California.

## Race Day Info:

Event Attendance: 100,000+
Hospitality Tent Attendance: 35-40

## Quality of Hospitality Tent:

| Aspect | Fair | Average | Excellent |
|--------|------|---------|-----------|
| Food | | X | |
| Cleanliness | | | X |
| Service | | | X |

## Suggestions / Recommendations:

Perhaps the tickets could be sent out a little sooner. This year the tickets arrived on Thursday and the race was Sunday. This made it difficult to get the tickets to customers on time.

cc: R.P. Bonomo"
2,/Users/paulobautista/Documents/streamlit/image/91939637.png,"# TRUE $3.00 CARTON COUPON PROMOTION

TO: __________________________________ DATE __________

FROM: __________________________________

PROMOTIONAL PERIOD: May–June 1992
CONSUMER OFFER: $3 Off Store Redeemable Carton Coupon
DISPLAY BRANDS: TRUE (All Packings)
DISPLAY AGREEMENT: Lorillard Sales Representative will supply all display materials and assemble display. Display containing deals will be placed on a self-service basis for a two-week period.

## AUTHORIZATION FOR PLACEMENT

| TYPE DISPLAY | NO. CARTONS |
|--------------|-------------|
| COUNTER      | __________ |
| FLOOR        | __________ |
| POSTER       | __________ (✓ if approved) |

DATE: FROM __________ TO __________

STORES PARTICIPATING: ______________________________________________________
                      ______________________________________________________
                      ______________________________________________________

THE FOLLOWING QUANTITY OF TRUE CARTONS MUST BE AVAILABLE FOR THE LORILLARD SALES REPRESENTATIVE TO ASSEMBLE THE DISPLAY ON THE DATE INDICATED ABOVE.

### TRUE

| PACKING | NUMBER OF CARTONS | PACKING | NUMBER OF CARTONS |
|---------|-------------------|---------|-------------------|
| FILTER K.S. | __________ | MENTHOL K.S. | __________ |
| FILTER 100's | __________ | MENTHOL 100's | __________ |
| BOX 80's (WHERE AVAILABLE) | __________ | BOX 100's (WHERE AVAILABLE) | __________ |

MERCHANDISE:
____ WILL BE ARBITRARILY SHIPPED TO STORE.
____ ORDER THROUGH YOUR SUPPLIER.

Authorized by: __________________________________ Date: __________"
3,/Users/paulobautista/Documents/streamlit/image/87533049.png,"# COUPON CODE REGISTRATION FORM

FROM: J. La Valle
TO: S. A. Rapisardi
cc: R. G. Ryan
    McGLYNN

---

| Field | Value |
|-------|-------|
| Brand(s) Applicable | TRUE |
| Media Type | On-Carton Instant Redeemable |
| Media Name | N/A |
| *Issue Frequency/Year | N/A |
| *Space/Color | N/A |
| Coupon Issue Date | 10/90 |
| Coupon Expiration Date | 6/30/91 |
| Circulation (#) | 1,213,400 |
| Geographical Area(s) | National |
| Coupon Value | $2.00 |
| Pack and/or Carton? | Carton |
| *Advertising Creative Title | True Filter King Carton |
| Signature of Initiator | [Signature] |
| Date Initiated | May 3, 1990 |

---

ANALYTICAL REQUIREMENTS: Break-out separately by packing as indicated

---

FOR CONTROL USE ONLY:
Code Assigned: 530430
Job Number: 1112

---

875309"
4,/Users/paulobautista/Documents/streamlit/image/01073843.png,"# AMES ASSAY FOR MUTAGENICITY

COMPOUND: Diethyl 3,3-Dimethyl-2-oxo-1,4-cyclopentanedicarboxylate

SOURCE: Lorillard - Organic Chemistry

LORILLARD NO.: A123 LOT NO.: OR67-13

DATE RECEIVED: unknown TESTED: 3/18/81-4/8/81 REPORTED: 4/14/81

INVESTIGATOR(S): H. S. Tong & A. A. Poole NOTEBOOK PAGE: BC19-25

SIGNATURE(S): [Signatures redacted]

TOXICITY (% SURVIVAL):

| | 50 | 80 | 100 |
|---|---|---|---|
| CONCENTRATION (mg/ml) | | | .025 |

SOLVENT: X DMSO □ WATER □ OTHER ________

## S. TYPHIMURIUM

| | TA1535 | TA100 | TA98 |
|---|---|---|---|
| | (-) S-9 | (+) S-9 | (-) S-9 | (+) S-9 | (-) S-9 | (+) S-9 |
| CONTROL REVERTANTS PER PLATE (0.1 ml SOLVENT) | 9.67 | 14.00 | 118.00 | 127.00 | 9.00 | 21.00 |

COMPOUND (ug/plate):

| | REVERSION RATE (TEST REVERTANTS/CONTROL REVERTANTS PER PLATE) |
|---|---|---|---|---|---|---|
| 25 | | .76 | | .87 | | .65 |
| 12.5 | 1.10 | 1.12 | 1.07 | .82 | .78 | .71 |
| 6.25 | | .52 | | .88 | | .86 |

POSITIVE CONTROL (ug/plate):

2-AMINOFLUORENE

| 4.0 | .72 | 3.07 | .98 | 4.26 | .22 | 20.10 |
|---|---|---|---|---|---|---|
| 2.0 | 1.24 | 2.86 | .76 | 3.63 | .67 | 18.81 |

Streptozotocin

| 1.0 | 6.41 | 31.14 | 1.60 | 3.11 | | |
|---|---|---|---|---|---|---|
| 0.5 | 2.28 | 12.29 | 1.08 | 1.99 | | |

CONCLUSION: This compound is judged non-mutagenic in this test system.

Copies to the following: H. J. Minnemeyer
                        L. B. Gray

LORILLARD RESEARCH CENTER
FORM 6 (5/80)
0107393"
5,/Users/paulobautista/Documents/streamlit/image/92586242.png,"# Newport pleasure!

## SPECIAL EVENT INFORMATION SHEET

### GENERAL INFORMATION:

| Field | Value |
|-------|-------|
| EVENT NAME: | Upper Madison Avenue Festival |
| EVENT LOCATION: | 68th -86th Street, New York, NY |
| EVENT DATES: | June 4, 1995 |

### HOURS:

| Day | Time |
|-----|------|
| MONDAY-FRIDAY: | |
| SATURDAY-SUNDAY: | 11am - 6pm |

### SPECIFICS:
(check applicable box(es))

- [x] # OF BOOTH(S)
- [ ] SIGNAGE
- [ ] SAMPLING & PREMIUMS
- [ ] MUSIC VAN
- [x] PREMIUMS ONLY
- [ ] RACING CAR

### SUPERVISOR INFORMATION:

| Field | Value |
|-------|-------|
| NAME OF ALLWAYS SUPERVISOR: | Jerome Curry |
| PHONE NUMBER: | (201) 923-9208 |
| BEEPER NUMBER: | (201) 698-1780 |"
6,/Users/paulobautista/Documents/streamlit/image/85201976.png,"# Marden-Kane, Inc.

## TRUE ""YOU FOUND IT"" SWEEPSTAKES

### SECOND PRIZE WINNER TRAVEL INFORMATION SHEET

THE DESTINATION IN THE CONTINENTAL UNITED STATES I WISH TO TRAVEL TO IS: ____________________

NAME: ____________________

ADDRESS: ____________________

CITY: ______________ STATE: ______________ ZIP: ______________

HOME PHONE: ____________________

BUSINESS PHONE: ____________________

NAME OF GUEST: ____________________

AGE: ____________________

RELATIONSHIP
TO WINNER: ____________________

PLEASE LIST THREE ALTERNATIVE DATES YOU WOULD LIKE TO TRAVEL

1. ____________________
2. ____________________
3. ____________________

MAJOR AIRPORT
NEAREST YOUR HOME: ____________________

AIRLINE:
(CHECK ONE) ______SMOKING ______NON-SMOKING

SPECIAL DIETARY REQUIREMENTS: ____________________

ANY ADDITIONAL
INFORMATION YOU WOULD LIKE TO PROVIDE: ____________________"
7,/Users/paulobautista/Documents/streamlit/image/0012529284.png,"# CHANGE OF AUTHORIZED COST

Date: 12-4-87 No. C-51

Description: CAPRI A&U EXPANSION - CALIFORNIA: WAVE 2 (87-113),
WAVE 3 (87-114) AND WAVE 4 (87-115).

Supplier: Kapuler Marketing Research

Previous $ Commitments This Project: $ 212,475 ±10%

Amt. of Change: Increase __ Decrease __ $ NA ( % Change)

Adjusted Total Cost of Project: $ 212,475 ±10%

Reasons:
Adjustment due to timing of projects falling
into 1988.

## PROJECTED:

| | Summary of Research Budget |
|---|---|
| Internal Init. Date | Total Area Budget: 780,900.00 |
| Ext. Auth. Date | Current Balance Available: (886,220.53) |
| Field Complete | This Change: +14,165.00 |
| Final Report Due (Supplier Rpt.) | (From Current Budget) |
| | This Amount -14,165.00 |
| | (From Next Year's Budget) |

| Com- | | |
|---|---|---|
| 87-113 (70,825) | Start plete Date FR | |
| 9/23 10/11 11/16New Balance: | (872,055.53) |
| 87-114 (70,825) 10/13 10/29 12/7 | |
| 87-115 (70,825) 11/16 12/7 1/11 | |

Committed To Date: 1,652,955.53

Submitted By: S.L. Willinger Date 12-4-87

Approved By: __________________ Date ________

Approved By: __________________ Date ________

Approved By: __________________ Date ________

Budget Check: [Signature] Date 12/7/87
K.E. Lyle

Original - Project File
cc: S. Willinger (3)
G. D. Raphael
V. Hansberry (If Int.)

Project No. 1987-113/114/115-CA

Account Name CAPRI

MRD00008 465915249"
8,/Users/paulobautista/Documents/streamlit/image/71341634.png,"# Request For Home Office Check

**MAR-24-1999 14:39 BROWN & WILLIAMSON 425 481 3146 P.010**

SA-4494 (3/96)  
(Record Retention: 30 days)

Brown & Williamson Tobacco Corporation

| Distributor No. 20192 | Date Check Required ASAP / PROMPT | Mail Check To: PLEASE OVERNIGHT to Payee |
|----------------------|-----------------------------------|-------------------------------------------|
| Chain No.            |                                   | X                                         |

Pay To : COREMARK INTERNATIONAL  
Attention: DAVID DRESSER  
Address: 395 OYSTER POINT BLVD SUITE 415  
S. SAN FRANCISCO, CA 94080  
City State Zip Code  

Is this a corporation?  
Yes [X] No [ ]

Please complete the following if checked ""NO"" for corporation above:

Enter Federal Employer Identification Number | Social Security Number
-------------------------------------------|-------------------------
OR |
|

1099 name (as entered listed above if proper name of legal entity as shown on IRS form) (please print):

| Promotion Name | Promotion Number | Promotion Code | Quantity | Units | AVG Rate | Amount |
|----------------|-------------------|----------------|----------|-------|----------|--------|
| GPC BUYDOWN PROGRAMS | 288 | 725 | 50,759 | CTNS | $2.84 | $143,922.60 |
| SEE ATTACHED | | | | | | |
| Section 18 Nat'l Chain-Walgreens | 296 | 725 | 6,382 | CTNS | $2.00 | $12,764.00 |
| | | | | | Check Total | $156,686.60 |

Promo Dates: March 15 - 19, 1999  
Charge To Section: PER ATTACHED

Requested By: Robert E. McIlvain  
Date: 03/24/99 Dist/Agent #: 39A00A C.F. #: 0907 I.D. #: [REDACTED]

---

| Verification | Date | Vendor # | Account Month |
|--------------|------|----------|---------------|
| Ref | Check # | Check Date | Pay Handling |

| Account Name | Description | Account # | Department | Product | Business Unit | Amount |
|--------------|-------------|-----------|------------|---------|---------------|--------|
| | | | | | | |
| | | | | | | |
| | | | | | | |

Voucher Approval: Date: Prepared By:

Pay Terms - 00000  
Pay Method - Check  
Separate Pay - Y [ ] N [ ]

Distribution: Fax to Field Payments at (502) 568-7636

MAR 24 1999 16:16 425 481 3146 PAGE.02

210180429  
PRODUCED FROM B&W WEB SITE"
9,/Users/paulobautista/Documents/streamlit/image/0001477983.png,"# STATE OF RHODE ISLAND AND PROVIDENCE PLANTATIONS
## Office of the Secretary of State

James R. Langevin, Secretary of State

Room 43, State House
Providence, Rhode Island 02903-1105
401-277-2590

### Monthly Organization/Employer Report
Due the 1st Monday of the month during the legislative session to report the previous months' activity.

**Reporting Period: Month of** May

**Organization/Employer Name:** R. J. Reynolds Tobacco

**Lobbyist Name:** Peter J. McGinn

If any addresses or telephone numbers have changed since the last reporting period please check here___ and note the change in the space provided at the end of this form.

#### Compensation/Expenditure Information:
Have you paid any type of compensation or incurred any obligation for payment to the above named lobbyist for lobbying? (yes or no) No . If yes, please complete the following.

| Category | Amount |
|----------|--------|
| Compensation received for lobbying: | $ |
| Part of salary received for lobbying: | $ |
| Amount earned but not received: | $ |
| Retainer: | $ |
| Contractual or agreed fee: | $ |
| Reimbursements for expenses (please itemize): | |

Other (please explain):
*Note: RIGL 22-10-2(d) requires disclosure in a dollar amount of the compensation for lobbying activity.*

During this reporting period, have you made any expenditure or incurred any obligation of $25.00 or more per occurrence to promote or oppose any legislation, including but not limited to mailings, meals, print or broadcast advertisements, or gifts? (yes or no) No

If yes, please detail, including the names of the persons receiving and in whose behalf such expenditures have been made, the amount, date, place, and reason for the expenditure.

(indicate if attached pages___)

List any changes of address or telephone numbers:
(from)
(to)

[Signature]
Signature of Employer or Designee | Please print name of Employer or Designee

Please indicate the capacity in which you are executing this document: ___________________

| FOR OFFICIAL USE |
|-------------------|
| ACCEPTED: REVIEWED: |

rev 1/97"
